age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,latitude,longitude,street_id,street_name,outcome_id,outcome_name
25-34,Arrest,True,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Police and Criminal Evidence Act 1984 (section 1),True,2024-02-01T18:40:00+00:00,False,,Black,Person search,,Anything to threaten or harm anyone,51.516391,-0.130498,2345284,Tottenham Court Road (Lu Station),bu-arrest,Arrest
10-17,A no further action disposal,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),False,2024-02-06T01:39:00+00:00,False,,White,Person search,,Controlled drugs,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-02-06T16:44:00+00:00,False,,Black,Person search,,Anything to threaten or harm anyone,51.509609,-0.135166,2346320,Piccadilly Circus (Lu Station),bu-no-further-action,A no further action disposal
25-34,Arrest,True,Other ethnic group - Not stated,Female,Police and Criminal Evidence Act 1984 (section 1),False,2024-02-07T01:39:00+00:00,False,,White,Person search,,Stolen goods,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-arrest,Arrest
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),True,2024-02-07T16:15:00+00:00,False,,Black,Person search,,Controlled drugs,51.516391,-0.130498,2345284,Tottenham Court Road (Lu Station),bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),True,2024-02-07T18:30:00+00:00,False,,White,Person search,,Controlled drugs,51.508360,-0.124803,2343173,Charing Cross (Lu Station),bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-02-08T18:45:00+00:00,False,,Black,Person search,,Stolen goods,51.509609,-0.135166,2346320,Piccadilly Circus (Lu Station),bu-no-further-action,A no further action disposal
18-24,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2024-02-08T20:24:00+00:00,False,,White,Person search,,Controlled drugs,51.503056,-0.113754,2346636,Waterloo (Lu Station),bu-arrest,Arrest
25-34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2024-02-10T17:18:00+00:00,False,,White,Person search,,Controlled drugs,51.508360,-0.124803,2343173,Charing Cross (Lu Station),bu-arrest,Arrest
over 34,A no further action disposal,True,Black/African/Caribbean/Black British - Caribbean,Female,Police and Criminal Evidence Act 1984 (section 1),False,2024-02-14T13:30:00+00:00,False,,Black,Person search,,Stolen goods,51.503056,-0.113754,2346636,Waterloo (Lu Station),bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Any other ethnic group,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-02-16T04:40:00+00:00,False,,Other,Person search,,Stolen goods,51.509609,-0.135166,2346320,Piccadilly Circus (Lu Station),bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),False,2024-02-15T11:15:00+00:00,False,,White,Person search,,Controlled drugs,51.503056,-0.113754,2346636,Waterloo (Lu Station),bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Any other ethnic group,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-02-18T16:15:00+00:00,False,,Other,Person search,,Article for use in theft,51.516391,-0.130498,2345284,Tottenham Court Road (Lu Station),bu-no-further-action,A no further action disposal
,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),False,2024-02-19T12:50:00+00:00,False,,Black,Person search,,Controlled drugs,51.520294,-0.104753,2343600,Farringdon (Station),bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,Misuse of Drugs Act 1971 (section 23),True,2024-02-19T13:21:00+00:00,False,,,Person search,,Controlled drugs,51.520294,-0.104753,2343600,Farringdon (Station),bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Any other ethnic group,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-02-21T17:50:00+00:00,False,,Other,Person search,,Stolen goods,51.501359,-0.124657,2345476,Westminster (Lu Station),bu-no-further-action,A no further action disposal
10-17,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-02-21T22:11:00+00:00,False,,Black,Person search,,Article for use in theft,51.501359,-0.124657,2345476,Westminster (Lu Station),bu-no-further-action,A no further action disposal
