age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,latitude,longitude,street_id,street_name,outcome_id,outcome_name
25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),True,2024-06-01T02:30:00+00:00,False,False,White,Person search,,Stolen goods,51.520061,-0.110441,1681033,On or near Baldwin'S Gardens,bu-no-further-action,A no further action disposal
,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),True,2024-06-03T14:50:00+00:00,False,False,Other,Person search,,Controlled drugs,51.520061,-0.110441,1681033,On or near Baldwin'S Gardens,bu-community-resolution,Community resolution
,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-12T22:30:00+00:00,False,False,White,Person search,,Article for use in theft,51.520061,-0.110441,1681033,On or near Baldwin'S Gardens,bu-no-further-action,A no further action disposal
,A no further action disposal,False,,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-01T03:40:00+00:00,False,False,White,Vehicle search,,,51.520061,-0.110441,1681033,On or near Baldwin'S Gardens,bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-01T13:23:24+00:00,False,,Black,Person and Vehicle search,,Offensive weapons,51.511693,-0.113511,1680666,On or near Water Street,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2024-06-01T22:51:30+00:00,False,,White,Person and Vehicle search,,Controlled drugs,51.511794,-0.101906,1490785,On or near Theatre/Concert Hall,bu-no-further-action,A no further action disposal
18-24,Khat or Cannabis warning,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),True,2024-06-02T00:23:32+00:00,False,,White,Person search,,Controlled drugs,51.511794,-0.101906,1490785,On or near Theatre/Concert Hall,bu-khat-or-cannabis-warning,Khat or Cannabis warning
25-34,A no further action disposal,True,White - Any other White background,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-06T03:11:38+00:00,False,,White,Person search,,Stolen goods,51.520709,-0.104346,1682044,On or near Benjamin Street,bu-no-further-action,A no further action disposal
,A no further action disposal,True,White - Any other White background,Male,Police and Criminal Evidence Act 1984 (section 1),True,2024-06-06T15:32:58+00:00,False,,White,Person search,,Stolen goods,51.515511,-0.096718,1490821,On or near Conference/Exhibition Centre,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Asian/Asian British - Any other Asian background,Male,Police and Criminal Evidence Act 1984 (section 1),True,2024-06-07T06:43:24+00:00,False,,Asian,Person and Vehicle search,,Article for use in theft,51.522614,-0.108721,1681477,On or near Herbal Hill,bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),True,2024-06-07T11:59:32+00:00,False,,White,Person and Vehicle search,,Controlled drugs,51.513874,-0.096501,1490820,On or near New Change,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Any other ethnic group,Male,Misuse of Drugs Act 1971 (section 23),False,2024-06-07T12:12:45+00:00,False,,Black,Person and Vehicle search,,Controlled drugs,51.514202,-0.108450,1490748,On or near Fleet Street,bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,Asian/Asian British - Bangladeshi,Male,Police and Criminal Evidence Act 1984 (section 1),True,2024-06-10T07:23:43+00:00,False,,White,Person and Vehicle search,,Article for use in theft,51.522930,-0.113263,1680578,On or near Elm Street,bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-24T05:50:57+00:00,False,,White,Person search,,Articles for use in criminal damage,51.519357,-0.101361,1490781,On or near Grand Avenue,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-11T12:14:18+00:00,False,,Black,Person search,,Article for use in theft,51.512590,-0.112811,1680673,On or near Essex Street,bu-no-further-action,A no further action disposal
18-24,Arrest,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),True,2024-06-12T11:06:47+00:00,False,,White,Person search,,Stolen goods,51.517239,-0.106076,1490762,On or near Conference/Exhibition Centre,bu-arrest,Arrest
18-24,Khat or Cannabis warning,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),True,2024-06-16T02:06:58+00:00,False,,White,Person search,,Controlled drugs,51.511794,-0.101906,1490785,On or near Theatre/Concert Hall,bu-khat-or-cannabis-warning,Khat or Cannabis warning
over 34,Arrest,True,Asian/Asian British - Bangladeshi,Male,Misuse of Drugs Act 1971 (section 23),True,2024-06-16T02:46:27+00:00,False,,Other,Person and Vehicle search,,Controlled drugs,51.511794,-0.101906,1490785,On or near Theatre/Concert Hall,bu-arrest,Arrest
10-17,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-19T03:47:41+00:00,False,,Black,Person search,,Stolen goods,51.514202,-0.108450,1490748,On or near Fleet Street,bu-no-further-action,A no further action disposal
,A no further action disposal,True,White - Any other White background,Female,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-19T17:28:20+00:00,False,,White,Person and Vehicle search,,Article for use in theft,51.510559,-0.095054,1490836,On or near Queenhithe,bu-no-further-action,A no further action disposal
over 34,Arrest,True,Black/African/Caribbean/Black British - Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),True,2024-06-19T19:14:08+00:00,False,,Black,Person search,,Stolen goods,51.515062,-0.097144,1490824,On or near St Paul'S,bu-arrest,Arrest
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2024-06-20T04:09:36+00:00,True,,White,Person and Vehicle search,,Controlled drugs,51.510761,-0.101963,1490783,On or near Ferry Terminal,bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2024-06-20T04:28:19+00:00,False,,White,Person search,,Evidence of offences under the Act,51.513712,-0.104276,1490767,On or near A201,bu-no-further-action,A no further action disposal
18-24,Khat or Cannabis warning,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),True,2024-06-20T12:12:11+00:00,False,,Asian,Person and Vehicle search,,Controlled drugs,51.520136,-0.108406,1681421,On or near Hatton Garden,bu-khat-or-cannabis-warning,Khat or Cannabis warning
18-24,A no further action disposal,True,White - Any other White background,Female,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-21T20:56:27+00:00,False,,White,Person and Vehicle search,,Stolen goods,51.510559,-0.095054,1490836,On or near Queenhithe,bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),True,2024-06-22T01:01:21+00:00,True,,White,Person and Vehicle search,,Controlled drugs,51.518700,-0.101359,1490784,On or near Parking Area,bu-no-further-action,A no further action disposal
18-24,Arrest,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),True,2024-06-22T01:49:23+00:00,False,,Black,Person and Vehicle search,,Evidence of offences under the Act,51.511794,-0.101906,1490785,On or near Theatre/Concert Hall,bu-arrest,Arrest
25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),False,2024-06-22T04:23:37+00:00,False,,White,Person search,,Controlled drugs,51.518700,-0.101359,1490784,On or near Parking Area,bu-no-further-action,A no further action disposal
,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-22T05:13:15+00:00,False,,Black,Person search,,Stolen goods,51.519293,-0.101320,1490792,On or near Grand Avenue,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-22T05:15:06+00:00,False,,Other,Person search,,Article for use in theft,51.518700,-0.101359,1490784,On or near Parking Area,bu-no-further-action,A no further action disposal
,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-22T05:27:24+00:00,False,,Black,Person search,,Article for use in theft,51.519293,-0.101320,1490792,On or near Grand Avenue,bu-no-further-action,A no further action disposal
