age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,latitude,longitude,street_id,street_name,outcome_id,outcome_name
over 34,A no further action disposal,True,White - Any other White background,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-27T09:35:48+00:00,False,,White,Person search,,Offensive weapons,51.517239,-0.106076,1490762,On or near Conference/Exhibition Centre,bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-27T15:34:25+00:00,False,,Black,Person search,,Article for use in theft,51.514770,-0.101292,1490779,On or near Amen Court,bu-no-further-action,A no further action disposal
18-24,Arrest,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),True,2024-06-28T20:54:00+00:00,False,,White,Person and Vehicle search,,Controlled drugs,51.510761,-0.101963,1490783,On or near Ferry Terminal,bu-arrest,Arrest
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-29T02:20:22+00:00,False,,White,Person search,,Article for use in theft,51.517739,-0.102538,1490776,On or near Hosier Lane,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Asian/Asian British - Any other Asian background,Male,Misuse of Drugs Act 1971 (section 23),False,2024-06-29T21:29:01+00:00,False,,Other,Person and Vehicle search,,Controlled drugs,51.511884,-0.108027,1490749,On or near Temple Avenue,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-30T05:17:46+00:00,False,,Black,Person search,,Article for use in theft,51.522137,-0.106997,1681771,On or near Farringdon Road,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-30T11:05:03+00:00,False,,Black,Person search,,Stolen goods,51.519080,-0.103679,1682337,On or near Charterhouse Street,bu-no-further-action,A no further action disposal
10-17,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-30T14:10:46+00:00,False,,White,Person search,,Article for use in theft,51.518281,-0.111596,1680923,On or near Chancery Lane,bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),True,2024-06-05T13:27:00+00:00,False,,White,Person search,,Controlled drugs,51.499131,-0.111768,2344155,Lambeth North (Lu Station),bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-09T12:10:00+00:00,False,,Black,Person search,,Anything to threaten or harm anyone,51.509609,-0.135151,2348094,Piccadilly Circus (Lu Station),bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,White - Any other White background,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-15T07:21:00+00:00,False,,White,Person search,,Stolen goods,51.503058,-0.113754,2348233,Waterloo  (London) (Station),bu-no-further-action,A no further action disposal
10-17,A no further action disposal,True,Other ethnic group - Any other ethnic group,Male,Misuse of Drugs Act 1971 (section 23),True,2024-06-17T19:20:00+00:00,False,,,Person search,,Controlled drugs,51.503058,-0.113754,2348233,Waterloo  (London) (Station),bu-no-further-action,A no further action disposal
,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),True,2024-06-20T17:29:00+00:00,False,,White,Person search,,Evidence of offences under the Act,51.503058,-0.113754,2348233,Waterloo  (London) (Station),bu-no-further-action,A no further action disposal
10-17,A no further action disposal,True,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Misuse of Drugs Act 1971 (section 23),True,2024-06-19T11:35:00+00:00,False,,Other,Person search,,Controlled drugs,51.523001,-0.124318,2344876,Russell Square (Lu Station),bu-no-further-action,A no further action disposal
over 34,Community resolution,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Female,Misuse of Drugs Act 1971 (section 23),True,2024-06-28T16:04:00+00:00,False,,Black,Person search,,Controlled drugs,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-community-resolution,Community resolution
,A no further action disposal,True,Asian/Asian British - Any other Asian background,Male,Misuse of Drugs Act 1971 (section 23),True,2024-06-28T16:07:00+00:00,False,,Other,Person search,,Controlled drugs,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,White - Any other White background,,Misuse of Drugs Act 1971 (section 23),False,2024-06-28T16:17:00+00:00,False,,White,Person search,,Evidence of offences under the Act,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-no-further-action,A no further action disposal
18-24,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2024-06-28T16:22:00+00:00,False,,White,Person search,,Evidence of offences under the Act,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-community-resolution,Community resolution
over 34,Caution (simple or conditional),True,Black/African/Caribbean/Black British - Caribbean,Male,Misuse of Drugs Act 1971 (section 23),True,2024-06-28T16:49:00+00:00,False,,Black,Person search,,Controlled drugs,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-caution,Caution (simple or conditional)
over 34,A no further action disposal,True,Black/African/Caribbean/Black British - Caribbean,Male,Misuse of Drugs Act 1971 (section 23),False,2024-06-28T17:00:00+00:00,False,,Black,Person search,,Evidence of offences under the Act,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-no-further-action,A no further action disposal
,A no further action disposal,True,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,Misuse of Drugs Act 1971 (section 23),False,2024-06-28T17:00:00+00:00,False,,Black,Person search,,Controlled drugs,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-no-further-action,A no further action disposal
10-17,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),True,2024-06-28T17:42:00+00:00,False,,Black,Person search,,Evidence of offences under the Act,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-no-further-action,A no further action disposal
,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),False,2024-06-28T16:00:00+00:00,False,,White,Person search,,Controlled drugs,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2024-06-28T16:27:00+00:00,False,,White,Person search,,Controlled drugs,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),False,2024-06-28T19:06:00+00:00,False,,White,Person search,,Controlled drugs,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,White - Irish,Male,Misuse of Drugs Act 1971 (section 23),False,2024-06-28T15:45:00+00:00,False,,White,Person search,,Controlled drugs,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),False,2024-06-28T19:22:00+00:00,False,,White,Person search,,Controlled drugs,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-no-further-action,A no further action disposal
over 34,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2024-06-28T19:31:00+00:00,False,,White,Person search,,Controlled drugs,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-community-resolution,Community resolution
,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2024-06-28T17:18:00+00:00,False,,Black,Person search,,Controlled drugs,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,Asian/Asian British - Bangladeshi,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-29T19:05:00+00:00,False,,Asian,Person search,,Stolen goods,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-no-further-action,A no further action disposal
10-17,A no further action disposal,True,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Misuse of Drugs Act 1971 (section 23),True,2024-06-29T17:20:00+00:00,False,,White,Person search,,Controlled drugs,51.509609,-0.135151,2348094,Piccadilly Circus (Lu Station),bu-no-further-action,A no further action disposal
18-24,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2024-06-29T17:30:00+00:00,False,,White,Person search,,Controlled drugs,51.509609,-0.135151,2348094,Piccadilly Circus (Lu Station),bu-arrest,Arrest
,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),False,2024-06-28T16:52:00+00:00,False,,White,Person search,,Controlled drugs,51.503058,-0.113754,2348233,Waterloo  (London) (Station),bu-no-further-action,A no further action disposal
25-34,Community resolution,True,Black/African/Caribbean/Black British - Caribbean,Male,Misuse of Drugs Act 1971 (section 23),True,2024-06-28T16:00:00+00:00,False,,Black,Person search,,Controlled drugs,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-community-resolution,Community resolution
18-24,Arrest,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-06T22:50:00+00:00,False,False,Black,Person search,,Stolen goods,51.510468,-0.130769,1678029,On or near Leicester Square,bu-arrest,Arrest
,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2024-06-27T14:34:00+00:00,False,False,White,Person search,,Controlled drugs,51.516880,-0.135854,1677180,On or near Berners Place,bu-no-further-action,A no further action disposal
,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-14T01:29:00+00:00,False,False,Black,Person search,,Stolen goods,51.513601,-0.131534,1677939,On or near Frith Street,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Not stated,Other,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-15T19:41:00+00:00,False,False,White,Person search,,Stolen goods,51.513839,-0.109387,1490739,On or near Old Mitre Court,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Not stated,Other,Misuse of Drugs Act 1971 (section 23),False,2024-06-13T02:34:00+00:00,False,False,White,Person search,,Controlled drugs,51.511783,-0.129778,1678199,On or near Nightclub,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Asian/Asian British - Pakistani,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-15T20:50:00+00:00,False,False,Asian,Person search,,Offensive weapons,51.510152,-0.132382,1677738,On or near Theatre/Concert Hall,bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,White - Any other White background,Female,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-06T18:15:00+00:00,False,False,White,Person search,,Stolen goods,51.515070,-0.138003,1676927,On or near Shopping Area,bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-25T17:20:00+00:00,False,False,White,Person search,,Offensive weapons,51.507725,-0.125708,1678750,On or near Corner House Street,bu-no-further-action,A no further action disposal
18-24,Community resolution,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-09T02:10:00+00:00,False,False,Black,Person search,,Stolen goods,51.510468,-0.130769,1678029,On or near Leicester Square,bu-community-resolution,Community resolution
10-17,A no further action disposal,True,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-09T13:50:00+00:00,False,False,Black,Person search,,Stolen goods,51.503218,-0.103170,1682415,On or near Nelson Square,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - African,Other,Misuse of Drugs Act 1971 (section 23),False,2024-06-04T21:06:00+00:00,False,False,Black,Person search,,Controlled drugs,51.509886,-0.128646,1678385,On or near Irving Street,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Any other ethnic group,Male,Misuse of Drugs Act 1971 (section 23),False,2024-06-15T22:30:00+00:00,False,False,White,Person search,,Controlled drugs,51.514838,-0.133545,1677519,On or near Nightclub,bu-no-further-action,A no further action disposal
,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-12T02:15:00+00:00,False,False,Black,Person search,,Stolen goods,51.512811,-0.133325,1677641,On or near Theatre/Concert Hall,bu-no-further-action,A no further action disposal
18-24,Penalty Notice for Disorder,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),False,2024-06-13T02:35:00+00:00,False,False,White,Person search,,Controlled drugs,51.511783,-0.129778,1678199,On or near Nightclub,bu-penalty-notice,Penalty Notice for Disorder
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-08T02:30:00+00:00,False,False,Black,Person search,,Stolen goods,51.513406,-0.131715,1677781,On or near Nightclub,bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,Other ethnic group - Not stated,Other,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-09T22:54:00+00:00,False,False,White,Person search,,Offensive weapons,51.512339,-0.133618,1677616,On or near Nightclub,bu-no-further-action,A no further action disposal
over 34,Arrest,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2024-06-15T00:00:00+00:00,False,False,Black,Person search,,Controlled drugs,51.514445,-0.125259,1678875,On or near Nottingham Court,bu-arrest,Arrest
25-34,A no further action disposal,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),False,2024-06-05T18:30:00+00:00,False,False,White,Person search,,Controlled drugs,51.513200,-0.131248,1677992,On or near Old Compton Street,bu-no-further-action,A no further action disposal
18-24,Arrest,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-27T21:57:00+00:00,False,False,White,Person search,,Stolen goods,51.510942,-0.131196,1677925,On or near Leicester Street,bu-arrest,Arrest
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-02T00:00:00+00:00,False,False,Other,Person search,,Stolen goods,51.515939,-0.132693,1677739,On or near Soho Street,bu-no-further-action,A no further action disposal
10-17,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-07T23:35:00+00:00,False,False,Black,Person search,,Stolen goods,51.510900,-0.127984,1678414,On or near Theatre/Concert Hall,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Not stated,Other,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-07T10:55:00+00:00,False,False,White,Person search,,Stolen goods,51.504099,-0.135122,1677284,On or near The Mall,bu-no-further-action,A no further action disposal
,A no further action disposal,True,Other ethnic group - Any other ethnic group,Male,Misuse of Drugs Act 1971 (section 23),False,2024-06-07T22:30:00+00:00,False,False,Black,Person search,,Controlled drugs,51.511703,-0.128701,1678351,On or near Little Newport Street,bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2024-06-02T03:11:00+00:00,False,False,Black,Person search,,Controlled drugs,51.510910,-0.128604,1678401,On or near Bear Street,bu-no-further-action,A no further action disposal
25-34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),False,2024-06-06T18:20:00+00:00,True,False,White,Person search,,Controlled drugs,51.507159,-0.105571,1682020,On or near Rennie Street,bu-arrest,Arrest
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-28T18:38:00+00:00,False,False,White,Person search,,Stolen goods,51.516948,-0.126598,1678624,On or near New Oxford Street,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-15T21:00:00+00:00,False,False,Black,Person search,,Stolen goods,51.509720,-0.131794,1677855,On or near Oxendon Street,bu-no-further-action,A no further action disposal
18-24,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Other,Misuse of Drugs Act 1971 (section 23),False,2024-06-12T21:30:00+00:00,False,False,White,Person search,,Controlled drugs,51.510468,-0.130769,1678029,On or near Leicester Square,bu-community-resolution,Community resolution
18-24,A no further action disposal,True,Asian/Asian British - Any other Asian background,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-13T01:00:00+00:00,False,False,Other,Person search,,Stolen goods,51.507970,-0.133162,1677656,On or near Charles Ii Street,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-10T00:00:00+00:00,False,False,Black,Person search,,Stolen goods,51.512013,-0.133502,1677575,On or near Winnett Street,bu-no-further-action,A no further action disposal
over 34,Arrest,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-25T15:05:00+00:00,False,False,Black,Person search,,Stolen goods,51.506374,-0.100949,1682757,On or near Supermarket,bu-arrest,Arrest
18-24,A no further action disposal,True,Other ethnic group - Arab,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-30T00:40:00+00:00,False,False,Black,Person search,,Stolen goods,51.503218,-0.103170,1682415,On or near Nelson Square,bu-no-further-action,A no further action disposal
10-17,Arrest,True,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-09T13:52:00+00:00,False,False,Black,Person search,,Stolen goods,51.502340,-0.103379,1682123,On or near Surrey Row,bu-arrest,Arrest
18-24,A no further action disposal,True,Other ethnic group - Any other ethnic group,Female,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-07T10:10:00+00:00,False,False,White,Person search,,Stolen goods,51.500696,-0.136053,1677128,On or near Birdcage Walk,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Not stated,Other,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-07T22:51:00+00:00,False,False,Black,Person search,,Stolen goods,51.513064,-0.129438,1678198,On or near Shaftesbury Avenue,bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,Other ethnic group - Not stated,Other,Police and Criminal Evidence Act 1984 (section 1),False,2024-06-29T20:30:00+00:00,False,False,,Person search,,Articles for use in criminal damage,51.515189,-0.129653,1678192,On or near Denmark Street,bu-no-further-action,A no further action disposal
