age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,latitude,longitude,street_id,street_name,outcome_id,outcome_name
18-24,Arrest,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-07-04T22:59:00+00:00,False,False,Black,Person and Vehicle search,,Offensive weapons,51.501162,-0.116252,1680084,On or near Addington Street,bu-arrest,Arrest
18-24,Community resolution,True,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),False,2024-07-12T22:27:00+00:00,True,False,Asian,Person and Vehicle search,,Controlled drugs,51.512945,-0.125926,1678778,On or near Mercer Street,bu-community-resolution,Community resolution
18-24,Penalty Notice for Disorder,True,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),False,2024-07-13T19:43:00+00:00,False,False,Asian,Person and Vehicle search,,Controlled drugs,51.522097,-0.119597,1679708,On or near Great Ormond Street,bu-penalty-notice,Penalty Notice for Disorder
25-34,A no further action disposal,True,White - Any other White background,Female,Misuse of Drugs Act 1971 (section 23),False,2024-07-15T23:45:00+00:00,False,False,White,Person and Vehicle search,,Controlled drugs,51.513970,-0.134387,1677442,On or near Wardour Street,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2024-07-13T19:45:00+00:00,False,False,Asian,Person and Vehicle search,,Controlled drugs,51.522097,-0.119597,1679708,On or near Great Ormond Street,bu-no-further-action,A no further action disposal
25-34,Penalty Notice for Disorder,True,Asian/Asian British - Any other Asian background,Male,Misuse of Drugs Act 1971 (section 23),False,2024-07-26T21:23:00+00:00,False,False,Asian,Person and Vehicle search,,Controlled drugs,51.513498,-0.130169,1678146,On or near Moor Street,bu-penalty-notice,Penalty Notice for Disorder
25-34,Community resolution,True,Asian/Asian British - Any other Asian background,Male,Misuse of Drugs Act 1971 (section 23),False,2024-07-19T23:35:00+00:00,False,False,Asian,Person and Vehicle search,,Controlled drugs,51.511790,-0.132459,1677744,On or near A401,bu-community-resolution,Community resolution
18-24,A no further action disposal,True,Other ethnic group - Not stated,Other,Police and Criminal Evidence Act 1984 (section 1),False,2024-07-09T01:00:00+00:00,False,False,Asian,Person and Vehicle search,,Offensive weapons,51.514492,-0.131037,1677987,On or near Nightclub,bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),False,2024-07-13T13:10:00+00:00,False,False,White,Person and Vehicle search,,Controlled drugs,51.501849,-0.101959,1682496,On or near King'S Bench Street,bu-no-further-action,A no further action disposal
,A no further action disposal,True,Black/African/Caribbean/Black British - Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-07-19T02:00:00+00:00,False,False,Black,Person and Vehicle search,,Stolen goods,51.520709,-0.104346,1682044,On or near Benjamin Street,bu-no-further-action,A no further action disposal
,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2024-07-06T08:39:00+00:00,False,False,Black,Person and Vehicle search,,Controlled drugs,51.514472,-0.123053,1679110,On or near Arne Street,bu-no-further-action,A no further action disposal
