age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,latitude,longitude,street_id,street_name,outcome_id,outcome_name
25-34,Arrest,True,Asian/Asian British - Indian,Male,Misuse of Drugs Act 1971 (section 23),False,2024-04-23T16:58:00+00:00,False,False,Asian,Person and Vehicle search,,Controlled drugs,51.498502,-0.107386,1681648,On or near Westminster Bridge Road,bu-arrest,Arrest
25-34,A no further action disposal,True,Asian/Asian British - Any other Asian background,Male,Misuse of Drugs Act 1971 (section 23),False,2024-04-03T01:33:00+00:00,False,False,Asian,Person and Vehicle search,,Controlled drugs,51.511583,-0.133287,1677675,On or near Theatre/Concert Hall,bu-no-further-action,A no further action disposal
25-34,Community resolution,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),False,2024-04-02T00:29:00+00:00,True,False,Other,Person and Vehicle search,,Controlled drugs,51.510152,-0.132382,1677738,On or near Theatre/Concert Hall,bu-community-resolution,Community resolution
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-04-30T21:49:00+00:00,False,False,White,Person and Vehicle search,,Stolen goods,51.507979,-0.130338,1678106,On or near Pall Mall East,bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2024-04-22T02:25:00+00:00,False,False,Black,Person and Vehicle search,,Controlled drugs,51.511703,-0.128701,1678351,On or near Little Newport Street,bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2024-04-22T02:55:00+00:00,False,False,Asian,Person and Vehicle search,,Controlled drugs,51.509886,-0.128646,1678385,On or near Irving Street,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-04-15T23:14:00+00:00,False,False,Asian,Person and Vehicle search,,Offensive weapons,51.513804,-0.130733,1678045,On or near Greek Street,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,Misuse of Drugs Act 1971 (section 23),False,2024-04-05T02:27:00+00:00,False,False,Black,Person and Vehicle search,,Controlled drugs,51.508699,-0.138306,1676887,On or near Albany Courtyard,bu-no-further-action,A no further action disposal
over 34,Community resolution,True,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),False,2024-04-28T00:20:00+00:00,False,False,Asian,Person and Vehicle search,,Controlled drugs,51.514279,-0.131247,1678009,On or near Nightclub,bu-community-resolution,Community resolution
18-24,Penalty Notice for Disorder,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),False,2024-04-28T01:00:00+00:00,True,False,Other,Person and Vehicle search,,Controlled drugs,51.506814,-0.138469,1676741,On or near Ryder Street,bu-penalty-notice,Penalty Notice for Disorder
over 34,A no further action disposal,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),False,2024-04-02T00:27:00+00:00,False,False,White,Person and Vehicle search,,Controlled drugs,51.510152,-0.132382,1677738,On or near Theatre/Concert Hall,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-04-06T14:25:00+00:00,False,False,Black,Person and Vehicle search,,Offensive weapons,51.498859,-0.108927,1681444,On or near Dibdin Row,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2024-04-20T01:55:00+00:00,False,False,Asian,Person and Vehicle search,,Controlled drugs,51.514286,-0.132818,1677663,On or near Chapone Place,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),False,2024-04-19T23:40:00+00:00,False,False,Asian,Person and Vehicle search,,Controlled drugs,51.512247,-0.130120,1678100,On or near Gerrard Place,bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2024-04-21T00:40:00+00:00,False,False,Asian,Person and Vehicle search,,Controlled drugs,51.513804,-0.130733,1678045,On or near Greek Street,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-04-22T09:28:00+00:00,False,False,White,Person and Vehicle search,,Stolen goods,51.517265,-0.125071,1678861,On or near Museum Street,bu-no-further-action,A no further action disposal
25-34,Community resolution,True,Other ethnic group - Arab,Other,Misuse of Drugs Act 1971 (section 23),False,2024-04-02T00:30:00+00:00,True,False,Other,Person and Vehicle search,,Controlled drugs,51.510152,-0.132382,1677738,On or near Theatre/Concert Hall,bu-community-resolution,Community resolution
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-04-28T01:40:00+00:00,False,False,Black,Person and Vehicle search,,Stolen goods,51.511790,-0.132459,1677744,On or near A401,bu-no-further-action,A no further action disposal
25-34,Arrest,True,White - Irish,Male,Misuse of Drugs Act 1971 (section 23),False,2024-04-22T02:55:00+00:00,False,False,Other,Person and Vehicle search,,Controlled drugs,51.509886,-0.128646,1678385,On or near Irving Street,bu-arrest,Arrest
18-24,A no further action disposal,True,Other ethnic group - Not stated,Other,Misuse of Drugs Act 1971 (section 23),False,2024-04-20T01:56:00+00:00,False,False,White,Person and Vehicle search,,Controlled drugs,51.514286,-0.132818,1677663,On or near Chapone Place,bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Other,Misuse of Drugs Act 1971 (section 23),False,2024-04-13T02:52:00+00:00,False,False,,Person and Vehicle search,,Controlled drugs,51.511703,-0.128701,1678351,On or near Little Newport Street,bu-no-further-action,A no further action disposal
25-34,Community resolution,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Other,Police and Criminal Evidence Act 1984 (section 1),False,2024-04-15T13:14:00+00:00,False,False,Black,Person and Vehicle search,,Stolen goods,51.501269,-0.107228,1681675,On or near Gray Street,bu-community-resolution,Community resolution
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2024-04-20T01:55:00+00:00,False,False,Black,Person and Vehicle search,,Controlled drugs,51.507199,-0.140068,1676571,On or near Bennet Street,bu-no-further-action,A no further action disposal
18-24,Community resolution,True,Asian/Asian British - Any other Asian background,Male,Misuse of Drugs Act 1971 (section 23),False,2024-04-20T01:45:00+00:00,False,False,,Person and Vehicle search,,Controlled drugs,51.507979,-0.130338,1678106,On or near Pall Mall East,bu-community-resolution,Community resolution
25-34,A no further action disposal,True,Asian/Asian British - Any other Asian background,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-04-25T17:50:00+00:00,False,False,Other,Person and Vehicle search,,Stolen goods,51.514044,-0.117666,1679992,On or near Supermarket,bu-no-further-action,A no further action disposal
25-34,Arrest,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2024-04-21T17:20:00+00:00,False,False,,Person and Vehicle search,,Controlled drugs,51.517596,-0.135680,1677320,On or near Newman Street,bu-arrest,Arrest
