age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,latitude,longitude,street_id,street_name,outcome_id,outcome_name
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2024-10-02T10:39:00+00:00,False,,White,Person search,,Controlled drugs,51.516391,-0.130498,2345284,Tottenham Court Road (Lu Station),bu-no-further-action,A no further action disposal
10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-10-03T10:07:00+00:00,False,,White,Person search,,Anything to threaten or harm anyone,51.507344,-0.122241,2343547,Embankment (Lu Station),bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),True,2024-10-04T16:52:00+00:00,False,,White,Person search,,Controlled drugs,51.503058,-0.113754,2348233,Waterloo  (London) (Station),bu-no-further-action,A no further action disposal
10-17,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-10-06T14:43:00+00:00,False,,Black,Person search,,Anything to threaten or harm anyone,51.516391,-0.130498,2345284,Tottenham Court Road (Lu Station),bu-no-further-action,A no further action disposal
,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-10-09T16:35:00+00:00,False,,Black,Person search,,Anything to threaten or harm anyone,51.507344,-0.122241,2343547,Embankment (Lu Station),bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-10-10T12:30:00+00:00,False,,Black,Person search,,Stolen goods,51.508360,-0.124803,2343173,Charing Cross (Lu Station),bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-10-10T12:34:00+00:00,False,,Black,Person search,,Article for use in theft,51.508360,-0.124803,2343173,Charing Cross (Lu Station),bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2024-10-10T15:15:00+00:00,False,,Black,Person search,,Controlled drugs,51.508482,-0.103737,2347773,Blackfriars (Station),bu-no-further-action,A no further action disposal
10-17,A no further action disposal,True,Black/African/Caribbean/Black British - Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-10-09T19:05:00+00:00,False,,Black,Person search,,Anything to threaten or harm anyone,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-10-11T17:00:00+00:00,False,,Black,Person search,,Offensive weapons,51.520294,-0.104753,2343600,Farringdon (Station),bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-10-12T19:51:00+00:00,False,,White,Person search,,Stolen goods,51.517640,-0.119723,2343955,Holborn (Lu Station),bu-no-further-action,A no further action disposal
10-17,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2024-10-09T19:00:00+00:00,False,,White,Person search,,Controlled drugs,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-arrest,Arrest
over 34,A no further action disposal,True,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Female,Police and Criminal Evidence Act 1984 (section 1),False,2024-10-14T15:45:00+00:00,False,,White,Person search,,Stolen goods,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-no-further-action,A no further action disposal
10-17,A no further action disposal,True,Black/African/Caribbean/Black British - Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-10-15T15:32:00+00:00,False,,Black,Person search,,Offensive weapons,51.503058,-0.113754,2348233,Waterloo  (London) (Station),bu-no-further-action,A no further action disposal
,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-10-15T15:32:00+00:00,False,,Black,Person search,,Anything to threaten or harm anyone,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),False,2024-10-15T17:37:00+00:00,False,,White,Person search,,Evidence of offences under the Act,51.503058,-0.113754,2348233,Waterloo  (London) (Station),bu-no-further-action,A no further action disposal
10-17,Arrest,True,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Misuse of Drugs Act 1971 (section 23),False,2024-10-15T15:22:00+00:00,False,,White,Person search,,Controlled drugs,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-arrest,Arrest
10-17,A no further action disposal,True,White - Any other White background,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-10-17T16:20:00+00:00,False,,White,Person search,,Offensive weapons,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-10-17T17:01:00+00:00,False,,White,Person search,,Controlled drugs,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-no-further-action,A no further action disposal
,A no further action disposal,True,White - Any other White background,Female,Misuse of Drugs Act 1971 (section 23),False,2024-10-17T17:06:00+00:00,False,,White,Person search,,Controlled drugs,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),False,2024-10-17T17:20:00+00:00,False,,White,Person search,,Controlled drugs,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2024-10-17T17:21:00+00:00,False,,White,Person search,,Controlled drugs,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-no-further-action,A no further action disposal
10-17,A no further action disposal,True,White - Any other White background,Female,Misuse of Drugs Act 1971 (section 23),False,2024-10-17T17:30:00+00:00,False,,White,Person search,,Controlled drugs,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-no-further-action,A no further action disposal
over 34,Community resolution,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),True,2024-10-17T17:25:00+00:00,False,,White,Person search,,Controlled drugs,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-community-resolution,Community resolution
25-34,Community resolution,True,Black/African/Caribbean/Black British - Caribbean,Male,Misuse of Drugs Act 1971 (section 23),True,2024-10-17T17:15:00+00:00,False,,Black,Person search,,Controlled drugs,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-community-resolution,Community resolution
