age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,latitude,longitude,street_id,street_name,outcome_id,outcome_name
25-34,Arrest,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2024-03-17T12:25:00+00:00,False,False,Other,Person search,,Controlled drugs,51.504824,-0.115222,1680380,On or near Concert Hall Approach,bu-arrest,Arrest
25-34,Community resolution,True,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Female,Misuse of Drugs Act 1971 (section 23),False,2024-03-22T03:34:00+00:00,False,False,White,Person search,,Controlled drugs,51.511997,-0.131355,1677958,On or near Macclesfield Street,bu-community-resolution,Community resolution
18-24,Community resolution,True,White - Any other White background,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-03-20T23:27:00+00:00,False,False,White,Person search,,Stolen goods,51.510910,-0.128604,1678401,On or near Bear Street,bu-community-resolution,Community resolution
over 34,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),False,2024-03-07T21:46:00+00:00,False,False,Black,Person search,,Controlled drugs,51.523026,-0.124316,1678972,On or near Russell Square,bu-no-further-action,A no further action disposal
10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),False,2024-03-07T15:00:00+00:00,False,False,White,Person search,,Stolen goods,51.506136,-0.115773,1680093,On or near Parking Area,bu-no-further-action,A no further action disposal
over 34,Arrest,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-03-28T11:45:00+00:00,False,False,Other,Person search,,Offensive weapons,51.510389,-0.124157,1679043,On or near Bedford Street,bu-arrest,Arrest
over 34,A no further action disposal,True,Asian/Asian British - Any other Asian background,Male,Misuse of Drugs Act 1971 (section 23),False,2024-03-22T20:45:00+00:00,False,False,Black,Person search,,Controlled drugs,51.510840,-0.128984,1678254,On or near Nightclub,bu-no-further-action,A no further action disposal
,A no further action disposal,True,Other ethnic group - Any other ethnic group,Male,Misuse of Drugs Act 1971 (section 23),False,2024-03-31T04:00:00+00:00,False,False,Other,Person search,,Controlled drugs,51.510295,-0.132318,1677826,On or near Coventry Street,bu-no-further-action,A no further action disposal
10-17,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),False,2024-03-30T16:55:00+00:00,False,False,Asian,Person search,,Stolen goods,51.515684,-0.135874,1677259,On or near Nightclub,bu-arrest,Arrest
25-34,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),False,2024-03-22T03:32:00+00:00,False,False,Black,Person search,,Controlled drugs,51.511997,-0.131355,1677958,On or near Macclesfield Street,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-03-22T23:46:00+00:00,True,False,Asian,Person search,,Offensive weapons,51.513200,-0.131248,1677992,On or near Old Compton Street,bu-no-further-action,A no further action disposal
,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-03-22T02:06:00+00:00,False,False,Other,Person search,,Stolen goods,51.512416,-0.133384,1677661,On or near Nightclub,bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,Asian/Asian British - Bangladeshi,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-03-29T02:35:00+00:00,False,False,Asian,Person search,,Evidence of offences under the Act,51.510468,-0.130769,1678029,On or near Leicester Square,bu-no-further-action,A no further action disposal
25-34,Arrest,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2024-03-06T02:00:00+00:00,True,False,Black,Person search,,Controlled drugs,51.511339,-0.128427,1678405,On or near Cranbourn Street,bu-arrest,Arrest
over 34,A no further action disposal,True,Other ethnic group - Not stated,Other,Misuse of Drugs Act 1971 (section 23),False,2024-03-30T00:13:00+00:00,False,False,Black,Person search,,Controlled drugs,51.515939,-0.132693,1677739,On or near Soho Street,bu-no-further-action,A no further action disposal
25-34,Penalty Notice for Disorder,True,Mixed/Multiple ethnic groups - White and Black African,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-03-28T11:55:00+00:00,False,False,Black,Person search,,Evidence of offences under the Act,51.507970,-0.133162,1677656,On or near Charles Ii Street,bu-penalty-notice,Penalty Notice for Disorder
25-34,A no further action disposal,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),False,2024-03-10T15:28:00+00:00,False,False,White,Person search,,Controlled drugs,51.500978,-0.125524,1678704,On or near Bridge Street,bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2024-03-27T13:45:00+00:00,False,False,White,Person search,,Controlled drugs,51.519697,-0.134917,1677336,On or near A5204,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-03-09T02:37:00+00:00,False,False,Black,Person search,,Stolen goods,51.512744,-0.127995,1678474,On or near Litchfield Street,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Asian/Asian British - Indian,Male,Misuse of Drugs Act 1971 (section 23),False,2024-03-22T20:07:00+00:00,False,False,Asian,Person search,,Controlled drugs,51.516568,-0.121381,1679291,On or near Newton Street,bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,Other ethnic group - Not stated,Other,Police and Criminal Evidence Act 1984 (section 1),False,2024-03-07T04:45:00+00:00,False,False,Black,Person search,,Offensive weapons,51.510468,-0.130769,1678029,On or near Leicester Square,bu-no-further-action,A no further action disposal
10-17,A no further action disposal,True,White - Any other White background,Other,Police and Criminal Evidence Act 1984 (section 1),False,2024-03-22T20:05:00+00:00,False,False,White,Person search,,Evidence of offences under the Act,51.509886,-0.128646,1678385,On or near Irving Street,bu-no-further-action,A no further action disposal
18-24,Community resolution,True,Other ethnic group - Arab,Male,Misuse of Drugs Act 1971 (section 23),False,2024-03-24T01:19:00+00:00,False,False,Other,Person search,,Controlled drugs,51.508087,-0.124122,1678961,On or near Nightclub,bu-community-resolution,Community resolution
