age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,latitude,longitude,street_id,street_name,outcome_id,outcome_name
25-34,A no further action disposal,True,Black/African/Caribbean/Black British - Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-27T10:30:00+00:00,,False,Black,Person search,,Stolen goods,51.514582,-0.125441,1678863,On or near Shorts Gardens,bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-27T12:25:00+00:00,,False,White,Person search,,Controlled drugs,51.514010,-0.124528,1678889,On or near Parking Area,bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-27T12:26:00+00:00,,False,Black,Person search,,Controlled drugs,51.514010,-0.124528,1678889,On or near Parking Area,bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Female,Misuse of Drugs Act 1971 (section 23),,2024-01-27T12:31:00+00:00,,False,Black,Person search,,Controlled drugs,51.515004,-0.125352,1678816,On or near B401,bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-27T12:58:00+00:00,,False,White,Person search,,Controlled drugs,51.514519,-0.128758,1678284,On or near Stacey Street,bu-no-further-action,A no further action disposal
18-24,Arrest,True,White - Any other White background,Female,Police and Criminal Evidence Act 1984 (section 1),,2024-01-27T17:11:00+00:00,,False,White,Person search,,Stolen goods,51.513742,-0.125749,1678736,On or near Theatre/Concert Hall,bu-arrest,Arrest
25-34,A no further action disposal,True,White - Any other White background,Female,Police and Criminal Evidence Act 1984 (section 1),,2024-01-27T17:05:00+00:00,,False,White,Person search,,Stolen goods,51.513742,-0.125749,1678736,On or near Theatre/Concert Hall,bu-no-further-action,A no further action disposal
25-34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-27T23:48:00+00:00,,False,White,Person search,,Controlled drugs,51.514537,-0.128196,1678431,On or near St Giles Passage,bu-arrest,Arrest
25-34,A no further action disposal,True,Asian/Asian British - Bangladeshi,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-27T23:50:00+00:00,,False,Asian,Person search,,Controlled drugs,51.514537,-0.128196,1678431,On or near St Giles Passage,bu-no-further-action,A no further action disposal
18-24,Arrest,True,Asian/Asian British - Indian,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-27T23:55:00+00:00,,False,Asian,Person search,,Controlled drugs,51.514537,-0.128196,1678431,On or near St Giles Passage,bu-arrest,Arrest
over 34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-27T23:36:00+00:00,,False,Black,Person search,,Controlled drugs,51.514519,-0.128758,1678284,On or near Stacey Street,bu-no-further-action,A no further action disposal
over 34,Arrest,True,Other ethnic group - Not stated,Female,Police and Criminal Evidence Act 1984 (section 1),,2024-01-28T18:10:00+00:00,,False,White,Person search,,Stolen goods,51.515189,-0.129653,1678192,On or near Denmark Street,bu-arrest,Arrest
25-34,Arrest,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-22T10:35:00+00:00,,False,Black,Person search,,Controlled drugs,51.523026,-0.124316,1678972,On or near Russell Square,bu-arrest,Arrest
10-17,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-29T13:15:00+00:00,,False,White,Person search,,Controlled drugs,51.514519,-0.128758,1678284,On or near Stacey Street,bu-community-resolution,Community resolution
10-17,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-29T13:15:00+00:00,,False,Asian,Person search,,Controlled drugs,51.514519,-0.128758,1678284,On or near Stacey Street,bu-no-further-action,A no further action disposal
25-34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-30T16:35:00+00:00,,False,White,Person search,,Stolen goods,51.516295,-0.129487,1678131,On or near Conference/Exhibition Centre,bu-arrest,Arrest
over 34,A no further action disposal,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-31T12:00:00+00:00,,False,White,Person search,,Controlled drugs,51.514010,-0.124528,1678889,On or near Parking Area,bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-31T12:00:00+00:00,,False,White,Person search,,Controlled drugs,51.514010,-0.124528,1678889,On or near Parking Area,bu-no-further-action,A no further action disposal
25-34,Penalty Notice for Disorder,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-31T16:03:00+00:00,,False,White,Person search,,Controlled drugs,51.516341,-0.120151,1679597,On or near Nightclub,bu-penalty-notice,Penalty Notice for Disorder
25-34,Arrest,True,White - Any other White background,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-31T21:15:00+00:00,,False,Other,Person search,,Stolen goods,51.516295,-0.129487,1678131,On or near Conference/Exhibition Centre,bu-arrest,Arrest
18-24,Community resolution,True,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-16T13:31:00+00:00,,False,Other,Person and Vehicle search,,Controlled drugs,51.500696,-0.136053,1677128,On or near Birdcage Walk,bu-community-resolution,Community resolution
18-24,A no further action disposal,True,Asian/Asian British - Any other Asian background,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-16T13:36:00+00:00,,False,Asian,Person search,,Controlled drugs,51.500696,-0.136053,1677128,On or near Birdcage Walk,bu-no-further-action,A no further action disposal
10-17,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-17T10:57:00+00:00,,False,Black,Person search,,Controlled drugs,51.517742,-0.125614,1678770,On or near Little Russell Street,bu-no-further-action,A no further action disposal
25-34,Arrest,True,Mixed/Multiple ethnic groups - White and Black African,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-20T22:30:00+00:00,,False,Black,Person search,,Controlled drugs,51.514246,-0.131436,1677792,On or near Nightclub,bu-arrest,Arrest
18-24,Community resolution,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-01T02:00:00+00:00,,False,Black,Person search,,Stolen goods,51.499488,-0.118410,1679222,On or near Hospital,bu-community-resolution,Community resolution
over 34,A no further action disposal,True,Other ethnic group - Not stated,Female,Misuse of Drugs Act 1971 (section 23),,2024-01-03T17:54:00+00:00,,False,Black,Person search,,Controlled drugs,51.499042,-0.111930,1680867,On or near Lambeth North,bu-no-further-action,A no further action disposal
25-34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-04T03:10:00+00:00,,False,White,Person search,,Stolen goods,51.499086,-0.108471,1681507,On or near Gerridge Street,bu-arrest,Arrest
25-34,Arrest,True,Asian/Asian British - Any other Asian background,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-03T13:30:00+00:00,,False,Other,Person and Vehicle search,,Stolen goods,51.496282,-0.111382,1681042,On or near Kennington Road,bu-arrest,Arrest
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-06T13:00:00+00:00,,False,White,Person search,,Controlled drugs,51.502799,-0.100075,1682780,On or near Loman Street,bu-no-further-action,A no further action disposal
