age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,latitude,longitude,street_id,street_name,outcome_id,outcome_name
25-34,A no further action disposal,True,Other ethnic group - Any other ethnic group,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-21T00:24:00+00:00,,False,Asian,Person and Vehicle search,,Offensive weapons,51.507970,-0.133162,1677656,On or near Charles Ii Street,bu-no-further-action,A no further action disposal
25-34,Arrest,True,Other ethnic group - Any other ethnic group,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-30T20:00:00+00:00,,False,Other,Person search,,Stolen goods,51.514867,-0.138790,1676714,On or near Further/Higher Educational Building,bu-arrest,Arrest
over 34,Arrest,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-30T19:36:00+00:00,,False,Other,Person search,,,51.514867,-0.138790,1676714,On or near Further/Higher Educational Building,bu-arrest,Arrest
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-30T18:45:00+00:00,,False,White,Person search,,Controlled drugs,51.513804,-0.130733,1678045,On or near Greek Street,bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-31T01:33:00+00:00,,False,Black,Person search,,Controlled drugs,51.513804,-0.130733,1678045,On or near Greek Street,bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,White - Irish,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-31T01:35:00+00:00,,False,White,Person search,,Controlled drugs,51.513804,-0.130733,1678045,On or near Greek Street,bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,White - Irish,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-31T01:32:00+00:00,,False,White,Person search,,Controlled drugs,51.513804,-0.130733,1678045,On or near Greek Street,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-31T01:12:00+00:00,,False,Black,Person search,,Controlled drugs,51.517516,-0.134012,1677426,On or near Gresse Street,bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-31T09:30:00+00:00,,False,White,Person and Vehicle search,,Controlled drugs,51.508094,-0.106685,1681636,On or near Upper Ground,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,White - Any other White background,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-31T17:00:00+00:00,,False,White,Person search,,Stolen goods,51.517287,-0.130403,1678024,On or near Parking Area,bu-no-further-action,A no further action disposal
25-34,Arrest,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-31T21:45:00+00:00,,False,White,Person search,,Stolen goods,51.516295,-0.129487,1678131,On or near Conference/Exhibition Centre,bu-arrest,Arrest
25-34,Penalty Notice for Disorder,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-31T23:47:00+00:00,,False,White,Person search,,Stolen goods,51.509064,-0.130120,1678150,On or near Parking Area,bu-penalty-notice,Penalty Notice for Disorder
25-34,A no further action disposal,True,Other ethnic group - Not stated,Female,Police and Criminal Evidence Act 1984 (section 1),,2024-01-31T16:26:00+00:00,,False,White,Person search,,Stolen goods,51.517287,-0.130403,1678024,On or near Parking Area,bu-no-further-action,A no further action disposal
