age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,latitude,longitude,street_id,street_name,outcome_id,outcome_name
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),False,2024-05-01T09:54:00+00:00,False,,White,Person search,,Controlled drugs,51.510559,-0.095054,1490836,On or near Queenhithe,bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,Black/African/Caribbean/Black British - Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),True,2024-05-01T10:59:47+00:00,False,,Black,Person search,,Offensive weapons,51.510761,-0.101963,1490783,On or near Ferry Terminal,bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2024-05-01T12:10:42+00:00,False,,White,Person and Vehicle search,,Controlled drugs,51.511884,-0.108027,1490749,On or near Temple Avenue,bu-no-further-action,A no further action disposal
25-34,Arrest,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),True,2024-05-01T17:48:21+00:00,False,,White,Person and Vehicle search,,Controlled drugs,51.515511,-0.096718,1490821,On or near Conference/Exhibition Centre,bu-arrest,Arrest
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2024-05-02T00:42:45+00:00,False,,White,Person and Vehicle search,,Controlled drugs,51.513712,-0.104276,1490767,On or near A201,bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),False,2024-05-02T01:38:54+00:00,False,,White,Person and Vehicle search,,Controlled drugs,51.517239,-0.106076,1490762,On or near Conference/Exhibition Centre,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),True,2024-05-02T10:00:18+00:00,True,,Other,Person and Vehicle search,,Article for use in theft,51.517239,-0.106076,1490762,On or near Conference/Exhibition Centre,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),True,2024-05-03T19:04:44+00:00,False,,White,Person search,,Controlled drugs,51.512549,-0.095764,1490831,On or near Friday Street,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Mixed/Multiple ethnic groups - White and Black African,Male,Misuse of Drugs Act 1971 (section 23),True,2024-05-03T19:13:25+00:00,False,,Black,Person search,,Controlled drugs,51.512549,-0.095764,1490831,On or near Friday Street,bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2024-05-06T10:07:57+00:00,False,,White,Person search,,Evidence of offences under the Act,51.505035,-0.112677,1680614,On or near Further/Higher Educational Building,bu-no-further-action,A no further action disposal
25-34,Arrest,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),True,2024-05-11T00:13:14+00:00,False,,White,Person and Vehicle search,,Controlled drugs,51.511794,-0.101906,1490785,On or near Theatre/Concert Hall,bu-arrest,Arrest
over 34,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),False,2024-05-10T04:48:44+00:00,False,,Black,Person and Vehicle search,,Controlled drugs,51.519080,-0.103679,1682337,On or near Charterhouse Street,bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),False,2024-05-10T04:49:46+00:00,False,,White,Person and Vehicle search,,Controlled drugs,51.519080,-0.103679,1682337,On or near Charterhouse Street,bu-no-further-action,A no further action disposal
