age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,latitude,longitude,street_id,street_name,outcome_id,outcome_name
18-24,Khat or Cannabis warning,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2024-08-02T20:36:04+00:00,False,,White,Person search,,Controlled drugs,51.517332,-0.098519,1490799,On or near Little Britain,bu-khat-or-cannabis-warning,Khat or Cannabis warning
18-24,A no further action disposal,True,Asian/Asian British - Any other Asian background,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-08-03T01:18:14+00:00,False,,Other,Person search,,Article for use in theft,51.513911,-0.102726,1490772,On or near Pageantmaster Court,bu-no-further-action,A no further action disposal
over 34,Arrest,True,Asian/Asian British - Indian,Male,Police and Criminal Evidence Act 1984 (section 1),True,2024-08-04T01:29:55+00:00,False,,Asian,Person search,,Stolen goods,51.515062,-0.097144,1490824,On or near St Paul'S,bu-arrest,Arrest
over 34,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),True,2024-08-04T19:54:25+00:00,False,,Black,Person search,,Offensive weapons,51.517051,-0.102812,1490768,On or near Police Station,bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-08-05T00:10:01+00:00,False,,White,Person search,,Offensive weapons,51.516906,-0.101621,1490782,On or near Giltspur Street,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),True,2024-08-05T02:53:30+00:00,False,,Black,Person and Vehicle search,,Offensive weapons,51.519357,-0.101361,1490781,On or near Grand Avenue,bu-no-further-action,A no further action disposal
over 34,Arrest,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),True,2024-08-05T03:20:50+00:00,False,,Asian,Person search,,Article for use in theft,51.515387,-0.097245,1490809,On or near St Martin'S Le Grand,bu-arrest,Arrest
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),True,2024-08-06T07:42:47+00:00,False,,Asian,Person search,,Controlled drugs,51.506985,-0.124975,1678839,On or near Northumberland Avenue,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),True,2024-08-06T14:26:17+00:00,False,,Black,Person search,,Controlled drugs,51.510559,-0.095054,1490836,On or near Queenhithe,bu-no-further-action,A no further action disposal
25-34,Arrest,True,Asian/Asian British - Any other Asian background,Male,Misuse of Drugs Act 1971 (section 23),True,2024-08-07T01:28:57+00:00,False,,Asian,Person and Vehicle search,,Controlled drugs,51.506985,-0.124975,1678839,On or near Northumberland Avenue,bu-arrest,Arrest
