age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,latitude,longitude,street_id,street_name,outcome_id,outcome_name
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),False,2024-09-09T04:25:37+00:00,False,,Black,Person and Vehicle search,,Controlled drugs,51.511884,-0.108027,1490749,On or near Temple Avenue,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2024-09-09T04:49:25+00:00,False,,Other,Person and Vehicle search,,Controlled drugs,51.511884,-0.108027,1490749,On or near Temple Avenue,bu-no-further-action,A no further action disposal
over 34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2024-09-10T17:13:39+00:00,False,,White,Person and Vehicle search,,Controlled drugs,51.507096,-0.122909,1678963,On or near Embankment Place,bu-arrest,Arrest
18-24,Arrest,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),True,2024-09-12T13:12:43+00:00,False,,Asian,Person and Vehicle search,,Controlled drugs,51.513874,-0.096501,1490820,On or near New Change,bu-arrest,Arrest
over 34,Arrest,True,Other ethnic group - Not stated,Female,Police and Criminal Evidence Act 1984 (section 1),True,2024-09-13T02:21:16+00:00,False,,White,Person search,,Stolen goods,51.513712,-0.104276,1490767,On or near A201,bu-arrest,Arrest
over 34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2024-09-13T05:42:35+00:00,False,,White,Person and Vehicle search,,Controlled drugs,51.511884,-0.108027,1490749,On or near Temple Avenue,bu-no-further-action,A no further action disposal
over 34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2024-09-15T15:48:19+00:00,False,,White,Person and Vehicle search,,Controlled drugs,51.514770,-0.101292,1490779,On or near Amen Court,bu-arrest,Arrest
over 34,Arrest,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),True,2024-09-19T18:09:38+00:00,False,,Black,Person search,,Stolen goods,51.514626,-0.097291,1490808,On or near Supermarket,bu-arrest,Arrest
over 34,Arrest,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),True,2024-09-20T00:09:59+00:00,False,,White,Person search,,Article for use in theft,51.514626,-0.097291,1490808,On or near Supermarket,bu-arrest,Arrest
25-34,A no further action disposal,True,Black/African/Caribbean/Black British - Caribbean,Male,Misuse of Drugs Act 1971 (section 23),True,2024-09-22T21:53:51+00:00,False,,Black,Person and Vehicle search,,Controlled drugs,51.511794,-0.101906,1490785,On or near Theatre/Concert Hall,bu-no-further-action,A no further action disposal
over 34,Arrest,True,White - Any other White background,Male,Police and Criminal Evidence Act 1984 (section 1),True,2024-09-25T19:49:49+00:00,False,,White,Person search,,Stolen goods,51.511301,-0.115963,1680089,On or near Conference/Exhibition Centre,bu-arrest,Arrest
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2024-09-26T13:29:14+00:00,False,,Asian,Person and Vehicle search,,Controlled drugs,51.522012,-0.109842,1681177,On or near White Bear Yd,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-09-26T18:10:55+00:00,False,,Black,Person and Vehicle search,,Offensive weapons,51.522012,-0.109842,1681177,On or near White Bear Yd,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),False,2024-09-27T00:07:34+00:00,False,,Black,Person and Vehicle search,,Controlled drugs,51.522012,-0.109842,1681177,On or near White Bear Yd,bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),True,2024-09-27T04:15:07+00:00,False,,White,Person and Vehicle search,,Controlled drugs,51.511884,-0.108027,1490749,On or near Temple Avenue,bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),True,2024-09-27T15:27:30+00:00,False,,White,Person search,,Article for use in theft,51.514626,-0.097291,1490808,On or near Supermarket,bu-no-further-action,A no further action disposal
,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Firearms Act 1968 (section 47),False,2024-09-29T04:46:50+00:00,False,,Black,Person search,,Firearms,51.509491,-0.125924,1678539,On or near William Iv Street,bu-no-further-action,A no further action disposal
,A no further action disposal,True,Other ethnic group - Any other ethnic group,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-09-29T16:28:54+00:00,False,,White,Person search,,Article for use in theft,51.510559,-0.095054,1490836,On or near Queenhithe,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-09-30T11:45:03+00:00,False,,Black,Person search,,Article for use in theft,51.522012,-0.109842,1681177,On or near White Bear Yd,bu-no-further-action,A no further action disposal
,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-09-11T16:00:00+00:00,False,,Black,Person search,,Stolen goods,51.509609,-0.135151,2348094,Piccadilly Circus (Lu Station),bu-no-further-action,A no further action disposal
,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-09-12T05:31:00+00:00,False,,White,Person search,,Stolen goods,51.501359,-0.124657,2345476,Westminster (Lu Station),bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),False,2024-09-13T15:00:00+00:00,False,,,Person search,,Controlled drugs,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Asian/Asian British - Any other Asian background,Male,Misuse of Drugs Act 1971 (section 23),False,2024-09-12T15:19:00+00:00,False,,Asian,Person search,,Controlled drugs,51.503058,-0.113754,2348233,Waterloo  (London) (Station),bu-no-further-action,A no further action disposal
10-17,A no further action disposal,True,Other ethnic group - Any other ethnic group,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-09-20T17:12:00+00:00,False,,Other,Person search,,Anything to threaten or harm anyone,51.511627,-0.127696,2344194,Leicester Square (Lu Station),bu-no-further-action,A no further action disposal
10-17,A no further action disposal,True,Asian/Asian British - Any other Asian background,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-09-20T17:09:00+00:00,False,,Other,Person search,,Offensive weapons,51.511627,-0.127696,2344194,Leicester Square (Lu Station),bu-no-further-action,A no further action disposal
10-17,Arrest,True,Asian/Asian British - Any other Asian background,Male,Police and Criminal Evidence Act 1984 (section 1),True,2024-09-20T20:16:00+00:00,False,,Other,Person search,,Anything to threaten or harm anyone,51.511627,-0.127696,2344194,Leicester Square (Lu Station),bu-arrest,Arrest
25-34,A no further action disposal,True,Other ethnic group - Not stated,Female,Police and Criminal Evidence Act 1984 (section 1),False,2024-09-20T18:45:00+00:00,False,,White,Person search,,Offensive weapons,51.503058,-0.113754,2348233,Waterloo  (London) (Station),bu-no-further-action,A no further action disposal
10-17,A no further action disposal,True,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,Misuse of Drugs Act 1971 (section 23),False,2024-09-23T11:23:00+00:00,False,,Black,Person search,,Controlled drugs,51.503058,-0.113754,2348233,Waterloo  (London) (Station),bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2024-09-24T11:50:00+00:00,False,,White,Person search,,Controlled drugs,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,Asian/Asian British - Pakistani,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-09-27T22:30:00+00:00,False,,Asian,Person search,,Anything to threaten or harm anyone,51.503059,-0.113754,2346467,Waterloo (Lu Station),bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2024-09-28T15:57:00+00:00,False,,White,Person search,,Controlled drugs,51.514033,-0.103686,2347819,City Thameslink (Station),bu-no-further-action,A no further action disposal
