age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,latitude,longitude,street_id,street_name,outcome_id,outcome_name
,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2024-09-02T06:01:52+00:00,False,,Black,Person and Vehicle search,,Controlled drugs,51.515511,-0.096718,1490821,On or near Conference/Exhibition Centre,bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,White - Any other White background,Male,Police and Criminal Evidence Act 1984 (section 1),True,2024-09-07T06:49:24+00:00,False,,White,Person search,,Stolen goods,51.512549,-0.095764,1490831,On or near Friday Street,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - Caribbean,Male,Misuse of Drugs Act 1971 (section 23),True,2024-09-07T23:45:55+00:00,False,,Black,Person search,,Controlled drugs,51.516075,-0.110289,1490736,On or near Bream'S Buildings,bu-no-further-action,A no further action disposal
10-17,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2024-09-07T23:49:34+00:00,False,,Black,Person search,,Offensive weapons,51.514202,-0.108450,1490748,On or near Fleet Street,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),False,2024-09-07T23:57:03+00:00,False,,Black,Person search,,Controlled drugs,51.516075,-0.110289,1490736,On or near Bream'S Buildings,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2024-09-08T04:25:04+00:00,False,,Black,Person search,,Controlled drugs,51.516136,-0.111296,1490732,On or near Further/Higher Educational Building,bu-no-further-action,A no further action disposal
,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2024-09-08T05:06:55+00:00,False,,Black,Person search,,Controlled drugs,51.516136,-0.111296,1490732,On or near Further/Higher Educational Building,bu-no-further-action,A no further action disposal
10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),False,2024-09-08T06:56:33+00:00,False,,White,Person search,,Controlled drugs,51.516075,-0.110289,1490736,On or near Bream'S Buildings,bu-no-further-action,A no further action disposal
18-24,Arrest,True,Asian/Asian British - Bangladeshi,Male,Police and Criminal Evidence Act 1984 (section 1),True,2024-09-08T13:23:24+00:00,False,,Asian,Person and Vehicle search,,Offensive weapons,51.516806,-0.109913,1490740,On or near Norwich Street,bu-arrest,Arrest
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),True,2024-09-08T22:20:53+00:00,False,,Black,Person and Vehicle search,,Controlled drugs,51.516075,-0.110289,1490736,On or near Bream'S Buildings,bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),False,2024-09-09T04:02:40+00:00,False,,Black,Person and Vehicle search,,Controlled drugs,51.511884,-0.108027,1490749,On or near Temple Avenue,bu-no-further-action,A no further action disposal
